QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L5_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = d43c1961-2156-46bf-acc0-a844e3a235f5
x[01] = -3.0781  job_id = 74eab7c4-1e6d-48d7-9e2f-28999ec4f4ad
x[02] = -3.0147  job_id = 851902fe-cef0-4a18-8a0f-feb84906e559
x[03] = -2.9512  job_id = 4f69b9e6-75b3-4a00-90e2-a179b0ce7414
x[04] = -2.8877  job_id = a0e8b33a-dee6-41b9-82ab-97e3574fc561
x[05] = -2.8243  job_id = f847efa0-7670-4215-9b02-6ebd72735b59
x[06] = -2.7608  job_id = c8eae4c8-3e5b-488b-92de-4580bef66c17
x[07] = -2.6973  job_id = edd071d1-c08b-4bf7-a6ed-03ddab9779ea
x[08] = -2.6339  job_id = e75d62d7-c9c7-4917-9bcf-b0ecab84d165
x[09] = -2.5704  job_id = c87f181c-d0fa-4d0d-afcf-85ac312b4158
x[10] = -2.5069  job_id = bde329fe-22d4-4e95-abfe-e3db9a9e22d1
x[11] = -2.4435  job_id = d6067679-7a57-4b63-9f9c-b9c88727cc55
x[12] = -2.3800  job_id = 8c6e3021-59a3-4750-88d8-a7f2a0fc0982
x[13] = -2.3165  job_id = a8bf69a6-8900-4409-ba50-991b3e15f53b
x[14] = -2.2531  job_id = 66efe668-2650-4fbb-b1b2-1b7ace64b84b
x[15] = -2.1896  job_id = 37cfb39e-f6c3-4752-825e-8eac80fb9910
x[16] = -2.1261  job_id = 9871777a-5626-4036-aff1-40d2a3de7946
x[17] = -2.0627  job_id = a0b02086-4d91-4b99-99fc-99576cda7a1f
x[18] = -1.9992  job_id = 9f34c972-90e0-44f4-8b01-65dba8d8ce29
x[19] = -1.9357  job_id = 8d248f1e-61c4-4d0c-ae75-0dbc845f8b79
x[20] = -1.8723  job_id = c79b873f-558b-4ad7-8fca-273a3a1981d8
x[21] = -1.8088  job_id = de957690-ae44-4bb1-8e90-c8d67876e78c
x[22] = -1.7453  job_id = a2140a63-9506-446c-80d8-72c9e541d97e
x[23] = -1.6819  job_id = b70fcc94-7783-406c-aecf-9010630f445c
x[24] = -1.6184  job_id = f8473905-9032-4764-832d-a2d609839bcb
x[25] = -1.5549  job_id = 897b94ef-a98c-424f-8fd7-381f05d676f1
x[26] = -1.4915  job_id = e1b6e1e1-48a6-4979-8dff-e5c321891a16
x[27] = -1.4280  job_id = a37d5433-63a2-46ed-b1d7-fb42ef6919d4
x[28] = -1.3645  job_id = 8d150692-82e9-46a4-9587-48cba3ea8d3d
x[29] = -1.3011  job_id = 64759df1-daa8-476d-abce-08d281076286
x[30] = -1.2376  job_id = 5dc3525a-fba1-4c93-8e1d-562424dd8244
x[31] = -1.1741  job_id = 5d1501e7-7b09-4888-ad2d-2111c35fd5bb
x[32] = -1.1107  job_id = 0c938f6b-1030-4769-a960-0ef3a110ee20
x[33] = -1.0472  job_id = 74232191-60da-43fa-b0c5-e54599ba5606
x[34] = -0.9837  job_id = 437ddc7e-d93c-48b3-be75-7d4824e3a94b
x[35] = -0.9203  job_id = d0cb2183-f38a-4242-8887-561ad1e94540
x[36] = -0.8568  job_id = 7ee1ad6f-7238-420d-8438-38b7fe48a3d7
x[37] = -0.7933  job_id = 4cc734bf-9917-4858-8247-f9cdb1fb3b24
x[38] = -0.7299  job_id = d1a71400-c906-42cd-be63-78d688a7eade
x[39] = -0.6664  job_id = 07be6e9e-58b3-4855-a202-1b91d2e85a52
x[40] = -0.6029  job_id = c7d72b54-2af4-4511-a572-c2c4bbe2c04c
x[41] = -0.5395  job_id = 7942fabf-761b-4c35-958d-c4ce3d1b0fe8
